Stage,Concept_A,Concept_B,Normalized_Strength,Previous_Strength,Change,Status
Simurgh_Encounter,جان,پاک,0.03464,0.015171,0.019469,Strengthening
Final_State,جان,پاک,0.0,0.03464,-0.03464,Weakening
Opening,جسم,درد,0.0,0.0,0.0,Stable
Birds_Journey,جسم,درد,0.0,0.0,0.0,Stable
Seven_Valleys,جسم,درد,0.0,0.0,0.0,Stable
Simurgh_Encounter,جسم,درد,0.0,0.0,0.0,Stable
Final_State,جسم,درد,0.030441,0.0,0.030441,Emerging
Opening,خاک,خویش,0.021362,0.0,0.021362,Emerging
Birds_Journey,خاک,خویش,0.012827,0.021362,-0.008535,Weakening
Seven_Valleys,خاک,خویش,0.01388,0.012827,0.001053,Strengthening
Simurgh_Encounter,خاک,خویش,0.024613,0.01388,0.010733,Strengthening
Final_State,خاک,خویش,0.0,0.024613,-0.024613,Weakening
Opening,خاک,درد,0.0,0.0,0.0,Stable
Birds_Journey,خاک,درد,0.003362,0.0,0.003362,Emerging
Seven_Valleys,خاک,درد,0.008715,0.003362,0.005353,Strengthening
Simurgh_Encounter,خاک,درد,0.027347,0.008715,0.018632,Strengthening
Final_State,خاک,درد,0.030441,0.027347,0.003094,Strengthening
Opening,خاک,دل,0.024184,0.0,0.024184,Emerging
Birds_Journey,خاک,دل,0.014197,0.024184,-0.009987,Weakening
Seven_Valleys,خاک,دل,0.010006,0.014197,-0.004191,Weakening
Simurgh_Encounter,خاک,دل,0.019143,0.010006,0.009137,Strengthening
Final_State,خاک,دل,0.027397,0.019143,0.008254,Strengthening
Opening,خاک,راه,0.032648,0.0,0.032648,Emerging
Birds_Journey,خاک,راه,0.024533,0.032648,-0.008115,Weakening
Seven_Valleys,خاک,راه,0.044222,0.024533,0.019689,Strengthening
Simurgh_Encounter,خاک,راه,0.021878,0.044222,-0.022344,Weakening
Final_State,خاک,راه,0.071537,0.021878,0.049659,Strengthening
Opening,خاک,طلب,0.0,0.0,0.0,Stable
Birds_Journey,خاک,طلب,0.0,0.0,0.0,Stable
Seven_Valleys,خاک,طلب,0.00581,0.0,0.00581,Emerging
Simurgh_Encounter,خاک,طلب,0.0,0.00581,-0.00581,Weakening
Final_State,خاک,طلب,0.0,0.0,0.0,Stable
Opening,خاک,عشق,0.0,0.0,0.0,Stable
Birds_Journey,خاک,عشق,0.008219,0.0,0.008219,Emerging
Seven_Valleys,خاک,عشق,0.006133,0.008219,-0.002086,Weakening
Simurgh_Encounter,خاک,عشق,0.0,0.006133,-0.006133,Weakening
Final_State,خاک,عشق,0.0,0.0,0.0,Stable
Opening,خاک,عقل,0.00927,0.0,0.00927,Emerging
Birds_Journey,خاک,عقل,0.002117,0.00927,-0.007153,Weakening
Seven_Valleys,خاک,عقل,0.0,0.002117,-0.002117,Weakening
Simurgh_Encounter,خاک,عقل,0.0,0.0,0.0,Stable
Final_State,خاک,عقل,0.0,0.0,0.0,Stable
Opening,خاک,محو,0.008867,0.0,0.008867,Emerging
Birds_Journey,خاک,محو,0.0,0.008867,-0.008867,Weakening
Seven_Valleys,خاک,محو,0.00581,0.0,0.00581,Emerging
Simurgh_Encounter,خاک,محو,0.0,0.00581,-0.00581,Weakening
Final_State,خاک,محو,0.0,0.0,0.0,Stable
Opening,خاک,نفس,0.0,0.0,0.0,Stable
Birds_Journey,خاک,نفس,0.005853,0.0,0.005853,Emerging
Seven_Valleys,خاک,نفس,0.0,0.005853,-0.005853,Weakening
Simurgh_Encounter,خاک,نفس,0.0,0.0,0.0,Stable
Final_State,خاک,نفس,0.0,0.0,0.0,Stable
Opening,خاک,پاک,0.035873,0.0,0.035873,Emerging
Birds_Journey,خاک,پاک,0.008095,0.035873,-0.027778,Weakening
Seven_Valleys,خاک,پاک,0.012912,0.008095,0.004817,Strengthening
Simurgh_Encounter,خاک,پاک,0.0,0.012912,-0.012912,Weakening
Final_State,خاک,پاک,0.083714,0.0,0.083714,Emerging
Opening,خویش,درد,0.0,0.0,0.0,Stable
Birds_Journey,خویش,درد,0.004483,0.0,0.004483,Emerging
Seven_Valleys,خویش,درد,0.00581,0.004483,0.001327,Strengthening
Simurgh_Encounter,خویش,درد,0.02917,0.00581,0.02336,Strengthening
Final_State,خویش,درد,0.0,0.02917,-0.02917,Weakening
Opening,خویش,دل,0.018138,0.0,0.018138,Emerging
Birds_Journey,خویش,دل,0.028269,0.018138,0.010131,Strengthening
Seven_Valleys,خویش,دل,0.023564,0.028269,-0.004705,Weakening
Simurgh_Encounter,خویش,دل,0.019143,0.023564,-0.004421,Weakening
Final_State,خویش,دل,0.024353,0.019143,0.00521,Strengthening
Opening,خویش,راه,0.045143,0.0,0.045143,Emerging
Birds_Journey,خویش,راه,0.053051,0.045143,0.007908,Strengthening
Seven_Valleys,خویش,راه,0.027437,0.053051,-0.025614,Weakening
Simurgh_Encounter,خویش,راه,0.031905,0.027437,0.004468,Strengthening
Final_State,خویش,راه,0.0,0.031905,-0.031905,Weakening
Opening,خویش,سیمرغ,0.0,0.0,0.0,Stable
Birds_Journey,خویش,سیمرغ,0.005479,0.0,0.005479,Emerging
Seven_Valleys,خویش,سیمرغ,0.0,0.005479,-0.005479,Weakening
Simurgh_Encounter,خویش,سیمرغ,0.032817,0.0,0.032817,Emerging
Final_State,خویش,سیمرغ,0.0,0.032817,-0.032817,Weakening
Opening,خویش,طلب,0.0,0.0,0.0,Stable
Birds_Journey,خویش,طلب,0.0,0.0,0.0,Stable
Seven_Valleys,خویش,طلب,0.007747,0.0,0.007747,Emerging
Simurgh_Encounter,خویش,طلب,0.0,0.007747,-0.007747,Weakening
Final_State,خویش,طلب,0.0,0.0,0.0,Stable
Opening,خویش,عشق,0.0,0.0,0.0,Stable
Birds_Journey,خویش,عشق,0.027771,0.0,0.027771,Emerging
Seven_Valleys,خویش,عشق,0.009038,0.027771,-0.018733,Weakening
Simurgh_Encounter,خویش,عشق,0.015497,0.009038,0.006459,Strengthening
Final_State,خویش,عشق,0.0,0.015497,-0.015497,Weakening
Opening,خویش,عقل,0.00927,0.0,0.00927,Emerging
Birds_Journey,خویش,عقل,0.003985,0.00927,-0.005285,Weakening
Seven_Valleys,خویش,عقل,0.008393,0.003985,0.004408,Strengthening
Simurgh_Encounter,خویش,عقل,0.0,0.008393,-0.008393,Weakening
Final_State,خویش,عقل,0.0,0.0,0.0,Stable
Opening,خویش,فنا,0.0,0.0,0.0,Stable
Birds_Journey,خویش,فنا,0.0,0.0,0.0,Stable
Seven_Valleys,خویش,فنا,0.006779,0.0,0.006779,Emerging
Simurgh_Encounter,خویش,فنا,0.0,0.006779,-0.006779,Weakening
Final_State,خویش,فنا,0.0,0.0,0.0,Stable
Opening,خویش,محو,0.0,0.0,0.0,Stable
Birds_Journey,خویش,محو,0.004857,0.0,0.004857,Emerging
Seven_Valleys,خویش,محو,0.005487,0.004857,0.00063,Strengthening
Simurgh_Encounter,خویش,محو,0.028259,0.005487,0.022772,Strengthening
Final_State,خویش,محو,0.0,0.028259,-0.028259,Weakening
Opening,خویش,مرغ,0.0,0.0,0.0,Stable
Birds_Journey,خویش,مرغ,0.004483,0.0,0.004483,Emerging
Seven_Valleys,خویش,مرغ,0.0,0.004483,-0.004483,Weakening
Simurgh_Encounter,خویش,مرغ,0.02917,0.0,0.02917,Emerging
Final_State,خویش,مرغ,0.0,0.02917,-0.02917,Weakening
Opening,خویش,نفس,0.013704,0.0,0.013704,Emerging
Birds_Journey,خویش,نفس,0.0132,0.013704,-0.000504,Weakening
Seven_Valleys,خویش,نفس,0.007747,0.0132,-0.005453,Weakening
Simurgh_Encounter,خویش,نفس,0.018232,0.007747,0.010485,Strengthening
Final_State,خویش,نفس,0.0,0.018232,-0.018232,Weakening
Opening,خویش,پاک,0.012092,0.0,0.012092,Emerging
Birds_Journey,خویش,پاک,0.004732,0.012092,-0.00736,Weakening
Seven_Valleys,خویش,پاک,0.0,0.004732,-0.004732,Weakening
Simurgh_Encounter,خویش,پاک,0.0,0.0,0.0,Stable
Final_State,خویش,پاک,0.0,0.0,0.0,Stable
Opening,درد,دل,0.01451,0.0,0.01451,Emerging
Birds_Journey,درد,دل,0.014321,0.01451,-0.000189,Weakening
Seven_Valleys,درد,دل,0.023564,0.014321,0.009243,Strengthening
Simurgh_Encounter,درد,دل,0.013674,0.023564,-0.00989,Weakening
Final_State,درد,دل,0.076104,0.013674,0.06243,Strengthening
Opening,درد,راه,0.014107,0.0,0.014107,Emerging
Birds_Journey,درد,راه,0.012453,0.014107,-0.001654,Weakening
Seven_Valleys,درد,راه,0.026146,0.012453,0.013693,Strengthening
Simurgh_Encounter,درد,راه,0.013674,0.026146,-0.012472,Weakening
Final_State,درد,راه,0.09589,0.013674,0.082216,Strengthening
Opening,درد,طلب,0.0,0.0,0.0,Stable
Birds_Journey,درد,طلب,0.001993,0.0,0.001993,Emerging
Seven_Valleys,درد,طلب,0.0,0.001993,-0.001993,Weakening
Simurgh_Encounter,درد,طلب,0.0,0.0,0.0,Stable
Final_State,درد,طلب,0.0,0.0,0.0,Stable
Opening,درد,عشق,0.0,0.0,0.0,Stable
Birds_Journey,درد,عشق,0.016563,0.0,0.016563,Emerging
Seven_Valleys,درد,عشق,0.022918,0.016563,0.006355,Strengthening
Simurgh_Encounter,درد,عشق,0.013674,0.022918,-0.009244,Weakening
Final_State,درد,عشق,0.0,0.013674,-0.013674,Weakening
Opening,درد,نفس,0.0,0.0,0.0,Stable
Birds_Journey,درد,نفس,0.003736,0.0,0.003736,Emerging
Seven_Valleys,درد,نفس,0.011298,0.003736,0.007562,Strengthening
Simurgh_Encounter,درد,نفس,0.020966,0.011298,0.009668,Strengthening
Final_State,درد,نفس,0.0,0.020966,-0.020966,Weakening
Opening,درد,پاک,0.0,0.0,0.0,Stable
Birds_Journey,درد,پاک,0.00411,0.0,0.00411,Emerging
Seven_Valleys,درد,پاک,0.0,0.00411,-0.00411,Weakening
Simurgh_Encounter,درد,پاک,0.0,0.0,0.0,Stable
